,Unnamed: 0,drug_a_name,drug_b_name,cell_line,synergy,fold,label
195,5-FU_DINACICLIB_A2058,5-FU,DINACICLIB,A2058,4.3316952071,0,0
196,5-FU_DINACICLIB_A2780,5-FU,DINACICLIB,A2780,-8.1611286386,0,0
197,5-FU_DINACICLIB_A375,5-FU,DINACICLIB,A375,-5.4159342011,0,0
198,5-FU_DINACICLIB_A427,5-FU,DINACICLIB,A427,-7.7474736816,0,0
199,5-FU_DINACICLIB_CAOV3,5-FU,DINACICLIB,CAOV3,-14.3474258909,0,0
200,5-FU_DINACICLIB_COLO320DM,5-FU,DINACICLIB,COLO320DM,4.8075500511,0,0
201,5-FU_DINACICLIB_DLD1,5-FU,DINACICLIB,DLD1,-3.6412672658,0,0
202,5-FU_DINACICLIB_EFM192B,5-FU,DINACICLIB,EFM192B,0.3121068316,0,0
203,5-FU_DINACICLIB_ES2,5-FU,DINACICLIB,ES2,3.4071845582,0,0
204,5-FU_DINACICLIB_HCT116,5-FU,DINACICLIB,HCT116,2.9189014698,0,0
205,5-FU_DINACICLIB_HT144,5-FU,DINACICLIB,HT144,-3.4774222173,0,0
206,5-FU_DINACICLIB_HT29,5-FU,DINACICLIB,HT29,-2.5394087442,0,0
207,5-FU_DINACICLIB_KPL1,5-FU,DINACICLIB,KPL1,0.007355464,0,0
208,5-FU_DINACICLIB_LNCAP,5-FU,DINACICLIB,LNCAP,-0.8480444662,0,0
209,5-FU_DINACICLIB_LOVO,5-FU,DINACICLIB,LOVO,-11.8769599262,0,0
210,5-FU_DINACICLIB_MDAMB436,5-FU,DINACICLIB,MDAMB436,5.3475341198,0,0
211,5-FU_DINACICLIB_MSTO,5-FU,DINACICLIB,MSTO,1.1104282837,0,0
212,5-FU_DINACICLIB_NCIH1650,5-FU,DINACICLIB,NCIH1650,-2.1132235055,0,0
213,5-FU_DINACICLIB_NCIH2122,5-FU,DINACICLIB,NCIH2122,1.2187131729,0,0
214,5-FU_DINACICLIB_NCIH23,5-FU,DINACICLIB,NCIH23,-9.5337022995,0,0
215,5-FU_DINACICLIB_NCIH460,5-FU,DINACICLIB,NCIH460,-7.4209805584,0,0
216,5-FU_DINACICLIB_NCIH520,5-FU,DINACICLIB,NCIH520,-4.3210485458,0,0
217,5-FU_DINACICLIB_OCUBM,5-FU,DINACICLIB,OCUBM,6.7850540323,0,0
218,5-FU_DINACICLIB_OV90,5-FU,DINACICLIB,OV90,-5.9355790617,0,0
219,5-FU_DINACICLIB_OVCAR3,5-FU,DINACICLIB,OVCAR3,2.7064693261,0,0
220,5-FU_DINACICLIB_PA1,5-FU,DINACICLIB,PA1,-5.7328651442,0,0
221,5-FU_DINACICLIB_RKO,5-FU,DINACICLIB,RKO,5.6238194396,0,0
222,5-FU_DINACICLIB_RPMI7951,5-FU,DINACICLIB,RPMI7951,-5.6869902395,0,0
223,5-FU_DINACICLIB_SKMEL30,5-FU,DINACICLIB,SKMEL30,-96.6171400256,0,0
224,5-FU_DINACICLIB_SKMES1,5-FU,DINACICLIB,SKMES1,-3.1403413007,0,0
225,5-FU_DINACICLIB_SKOV3,5-FU,DINACICLIB,SKOV3,-13.8991015225,0,0
